timestamp,contract_code,contract_name,interval_min,close,open,high,low,volume,open_interest,open_interest_change
2026-09-08 12:55:00,A016C000,F 202612,10,1138.8,1138.4,1139.7,1137.4,238.0,62195.0,933.0
2026-09-08 13:05:00,A016C000,F 202612,10,1137.95,1138.85,1140.6,1137.0,222.0,63538.0,1343.0
2026-09-08 13:15:00,A016C000,F 202612,10,1137.65,1138.05,1138.25,1135.75,349.0,64079.0,541.0
2026-09-08 13:25:00,A016C000,F 202612,10,1134.15,1137.55,1138.0,1133.85,274.0,64516.0,437.0
2026-09-08 13:35:00,A016C000,F 202612,10,1135.2,1133.85,1135.3,1131.65,266.0,65031.0,515.0
2026-09-08 13:45:00,A016C000,F 202612,10,1130.3,1135.4,1136.25,1129.35,217.0,65588.0,557.0
2026-09-08 13:55:00,A016C000,F 202612,10,1126.3,1130.4,1130.4,1126.3,292.0,66211.0,623.0
2026-09-08 14:05:00,A016C000,F 202612,10,1123.25,1126.05,1126.25,1120.5,423.0,66652.0,441.0
2026-09-08 14:15:00,A016C000,F 202612,10,1126.05,1123.25,1127.15,1122.7,306.0,67811.0,1159.0
2026-09-08 14:25:00,A016C000,F 202612,10,1117.1,1126.2,1126.9,1117.1,388.0,68829.0,1018.0
2026-09-08 14:35:00,A016C000,F 202612,10,1117.35,1117.55,1122.25,1117.3,374.0,69367.0,538.0
2026-09-08 14:45:00,A016C000,F 202612,10,1111.75,1117.3,1119.85,1111.7,575.0,70026.0,659.0
2026-09-08 14:55:00,A016C000,F 202612,10,1108.15,1112.0,1114.95,1107.25,649.0,70979.0,953.0
2026-09-08 15:05:00,A016C000,F 202612,10,1107.1,1107.8,1109.8,1105.0,517.0,71692.0,713.0
2026-09-08 15:15:00,A016C000,F 202612,10,1102.0,1107.7,1107.7,1100.55,545.0,72707.0,1015.0
2026-09-08 15:25:00,A016C000,F 202612,10,1100.7,1101.75,1102.3,1099.75,653.0,73998.0,1291.0
2026-09-08 15:45:00,A016C000,F 202612,10,1100.2,1100.2,1100.2,1100.2,178.0,74318.0,320.0
2026-09-09 08:45:00,A016C000,F 202612,10,1103.6,1109.95,1109.95,1102.5,584.0,76219.0,1901.0
2026-09-09 08:55:00,A016C000,F 202612,10,1108.7,1103.6,1109.0,1103.3,799.0,77252.0,1033.0
2026-09-09 09:05:00,A016C000,F 202612,10,1113.5,1108.55,1113.5,1106.9,1089.0,78142.0,890.0
2026-09-09 09:15:00,A016C000,F 202612,10,1113.15,1113.5,1116.85,1112.1,741.0,78659.0,517.0
2026-09-09 09:25:00,A016C000,F 202612,10,1108.4,1113.35,1113.4,1107.75,654.0,80402.0,1743.0
2026-09-09 09:35:00,A016C000,F 202612,10,1114.15,1108.6,1114.55,1107.15,499.0,82132.0,1730.0
2026-09-09 09:45:00,A016C000,F 202612,10,1118.85,1114.2,1119.0,1112.15,585.0,84106.0,1974.0
2026-09-09 09:55:00,A016C000,F 202612,10,1118.05,1118.9,1119.25,1116.05,450.0,85363.0,1257.0
2026-09-09 10:05:00,A016C000,F 202612,10,1118.75,1118.1,1120.75,1115.9,614.0,86541.0,1178.0
2026-09-09 10:15:00,A016C000,F 202612,10,1119.65,1118.95,1120.5,1116.65,368.0,87408.0,867.0
2026-09-09 10:25:00,A016C000,F 202612,10,1121.85,1119.6,1122.05,1118.2,584.0,88082.0,674.0
2026-09-09 10:35:00,A016C000,F 202612,10,1118.25,1121.8,1123.7,1117.85,524.0,90203.0,2121.0
2026-09-09 10:45:00,A016C000,F 202612,10,1116.95,1117.8,1118.75,1115.05,415.0,91227.0,1024.0
2026-09-09 10:55:00,A016C000,F 202612,10,1121.95,1116.95,1122.35,1116.55,456.0,91778.0,551.0
2026-09-09 11:05:00,A016C000,F 202612,10,1122.7,1121.75,1124.45,1120.4,385.0,92671.0,893.0
2026-09-09 11:15:00,A016C000,F 202612,10,1123.4,1122.5,1123.55,1120.7,484.0,93314.0,643.0
2026-09-09 11:25:00,A016C000,F 202612,10,1126.5,1123.2,1127.9,1122.5,531.0,94512.0,1198.0
2026-09-09 11:35:00,A016C000,F 202612,10,1129.95,1126.5,1130.2,1125.55,498.0,95182.0,670.0
2026-09-09 11:45:00,A016C000,F 202612,10,1125.5,1129.7,1130.0,1124.95,761.0,95831.0,649.0
2026-09-09 11:55:00,A016C000,F 202612,10,1122.05,1125.45,1126.3,1122.05,612.0,96523.0,692.0
2026-09-09 12:05:00,A016C000,F 202612,10,1119.35,1122.15,1122.15,1118.75,483.0,96887.0,364.0
2026-09-09 12:15:00,A016C000,F 202612,10,1118.3,1119.55,1122.25,1117.75,407.0,97348.0,461.0
2026-09-09 12:25:00,A016C000,F 202612,10,1120.4,1118.55,1120.7,1117.2,258.0,97579.0,231.0
